,TAMBON_E,TAMBON_T,AMPHOE_E,AMPHOE_T,AM_ID,CH_ID,CHANGWAT_T,CHANGWAT_E,LAT,LONG
101804,Khlong Ton Sai,คลองต้นไทร,Khlong San,คลองสาน,1018,10,กรุงเทพมหานคร,Bangkok,13.725,100.508
101901,Khlong Chak Phra,คลองชักพระ,Taling Chan,ตลิ่งชัน,1019,10,กรุงเทพมหานคร,Bangkok,13.76,100.456
101902,Taling Chan,ตลิ่งชัน,Taling Chan,ตลิ่งชัน,1019,10,กรุงเทพมหานคร,Bangkok,13.789000000000001,100.459
101903,Chimphli,ฉิมพลี,Taling Chan,ตลิ่งชัน,1019,10,กรุงเทพมหานคร,Bangkok,13.786,100.432
101904,Bang Phrom,บางพรม,Taling Chan,ตลิ่งชัน,1019,10,กรุงเทพมหานคร,Bangkok,13.752,100.44200000000001
101905,Bang Ramat,บางระมาด,Taling Chan,ตลิ่งชัน,1019,10,กรุงเทพมหานคร,Bangkok,13.767000000000001,100.431
101907,Bang Chueak Nang,บางเชือกหนัง,Taling Chan,ตลิ่งชัน,1019,10,กรุงเทพมหานคร,Bangkok,13.751,100.419
102004,Sirirat,ศิริราช,Bangkok Noi,บางกอกน้อย,1020,10,กรุงเทพมหานคร,Bangkok,13.759,100.48100000000001
102005,Ban Chang Lo,บ้านช่างหล่อ,Bangkok Noi,บางกอกน้อย,1020,10,กรุงเทพมหานคร,Bangkok,13.752,100.477
102006,Bang Khun Non,บางขุนนนท์,Bangkok Noi,บางกอกน้อย,1020,10,กรุงเทพมหานคร,Bangkok,13.774000000000001,100.46600000000001
102007,Bang Khun Si,บางขุนศรี,Bangkok Noi,บางกอกน้อย,1020,10,กรุงเทพมหานคร,Bangkok,13.76,100.463
102009,Arun Ammarin,อรุณอมรินทร์,Bangkok Noi,บางกอกน้อย,1020,10,กรุงเทพมหานคร,Bangkok,13.772,100.477
102105,Tha Kham,ท่าข้าม,Bang Khun Thian,บางขุนเทียน,1021,10,กรุงเทพมหานคร,Bangkok,13.555,100.434
102107,Samae Dam,แสมดำ,Bang Khun Thian,บางขุนเทียน,1021,10,กรุงเทพมหานคร,Bangkok,13.605,100.395
102201,Bang Wa,บางหว้า,Phasi Charoen,ภาษีเจริญ,1022,10,กรุงเทพมหานคร,Bangkok,13.714,100.443
102202,Bang Duan,บางด้วน,Phasi Charoen,ภาษีเจริญ,1022,10,กรุงเทพมหานคร,Bangkok,13.722999999999999,100.43700000000001
102206,Bang Chak,บางจาก,Phasi Charoen,ภาษีเจริญ,1022,10,กรุงเทพมหานคร,Bangkok,13.727,100.45
102207,Bang Waek,บางแวก,Phasi Charoen,ภาษีเจริญ,1022,10,กรุงเทพมหานคร,Bangkok,13.735999999999999,100.445
